Fecha,Índice,Combinación lineal óptima CORR
01/01/2001,101.72638,NaN
01/02/2001,102.885284,NaN
01/03/2001,103.76356,NaN
01/04/2001,104.46003,NaN
01/05/2001,104.97459,NaN
01/06/2001,105.85011,NaN
01/07/2001,106.61768,NaN
01/08/2001,108.12717,NaN
01/09/2001,108.99656,NaN
01/10/2001,110.004234,NaN
01/11/2001,110.949486,NaN
01/12/2001,111.86024,11.860235214233398
01/01/2002,114.36497,12.424094200134277
01/02/2002,115.84616,12.597410202026367
01/03/2002,116.76267,12.527629852294922
01/04/2002,117.51393,12.496559143066406
01/05/2002,118.10094,12.504310607910156
01/06/2002,118.8106,12.244189262390137
01/07/2002,119.431786,12.018739700317383
01/08/2002,119.98618,10.967665672302246
01/09/2002,120.461105,10.518269538879395
01/10/2002,121.00764,10.002705574035645
01/11/2002,121.62811,9.62476921081543
01/12/2002,122.23837,9.27777099609375
01/01/2003,123.99469,8.420165061950684
01/02/2003,125.08988,7.979305744171143
01/03/2003,125.71189,7.664457321166992
01/04/2003,126.42317,7.581433296203613
01/05/2003,127.00969,7.543335914611816
01/06/2003,127.69662,7.479146480560303
01/07/2003,128.28384,7.411818504333496
01/08/2003,128.7074,7.2685136795043945
01/09/2003,129.20398,7.257843971252441
01/10/2003,129.6434,7.1365461349487305
01/11/2003,130.06378,6.935622215270996
01/12/2003,130.66032,6.889766693115234
01/01/2004,132.5254,6.879907608032227
01/02/2004,133.5765,6.784424304962158
01/03/2004,134.31822,6.846069812774658
01/04/2004,134.94278,6.738960266113281
01/05/2004,135.8071,6.926557540893555
01/06/2004,136.61182,6.98155403137207
01/07/2004,137.17532,6.931105613708496
01/08/2004,138.01338,7.2303361892700195
01/09/2004,138.9307,7.528182506561279
01/10/2004,139.95016,7.9500885009765625
01/11/2004,140.99585,8.405160903930664
01/12/2004,141.92137,8.618566513061523
01/01/2005,144.42767,8.981122970581055
01/02/2005,145.7866,9.140901565551758
01/03/2005,146.5886,9.135290145874023
01/04/2005,147.23398,9.108442306518555
01/05/2005,148.1637,9.098633766174316
01/06/2005,148.96074,9.039426803588867
01/07/2005,149.71216,9.139275550842285
01/08/2005,150.26608,8.877903938293457
01/09/2005,151.12616,8.778093338012695
01/10/2005,152.74565,9.142889022827148
01/11/2005,153.89873,9.151241302490234
01/12/2005,154.827,9.093502044677734
01/01/2006,157.2395,8.87076187133789
01/02/2006,158.29248,8.578208923339844
01/03/2006,159.26309,8.646307945251465
01/04/2006,160.23177,8.827985763549805
01/05/2006,160.93944,8.622714042663574
01/06/2006,161.73026,8.572396278381348
01/07/2006,162.54712,8.57309341430664
01/08/2006,163.15245,8.57570743560791
01/09/2006,163.7075,8.325069427490234
01/10/2006,164.30557,7.568084716796875
01/11/2006,164.92563,7.165036201477051
01/12/2006,165.9759,7.200881004333496
01/01/2007,168.19945,6.970231056213379
01/02/2007,169.39998,7.017075061798096
01/03/2007,170.56741,7.0978851318359375
01/04/2007,171.40994,6.976255893707275
01/05/2007,172.18846,6.989596366882324
01/06/2007,173.16139,7.068026065826416
01/07/2007,174.12541,7.123042106628418
01/08/2007,175.2896,7.439152717590332
01/09/2007,176.23466,7.652158737182617
01/10/2007,177.271,7.891048431396484
01/11/2007,178.80345,8.414586067199707
01/12/2007,180.32535,8.64549446105957
01/01/2008,183.15189,8.889711380004883
01/02/2008,185.07816,9.255125999450684
01/03/2008,186.92085,9.58767318725586
01/04/2008,188.62877,10.045412063598633
01/05/2008,190.32521,10.533077239990234
01/06/2008,192.40096,11.110770225524902
01/07/2008,194.72417,11.829845428466797
01/08/2008,195.98955,11.809002876281738
01/09/2008,197.37073,11.993135452270508
01/10/2008,198.85141,12.17369270324707
01/11/2008,200.19371,11.963003158569336
01/12/2008,201.14761,11.547053337097168
01/01/2009,202.78534,10.719764709472656
01/02/2009,203.585,9.999473571777344
01/03/2009,204.1273,9.205209732055664
01/04/2009,204.5569,8.444168090820312
01/05/2009,205.23866,7.8357648849487305
01/06/2009,205.82404,6.976614952087402
01/07/2009,206.47012,6.032102584838867
01/08/2009,207.05339,5.645116329193115
01/09/2009,207.89351,5.331482887268066
01/10/2009,208.42021,4.81203556060791
01/11/2009,209.092,4.444835662841797
01/12/2009,209.63632,4.220134735107422
01/01/2010,211.522,4.3083271980285645
01/02/2010,212.39081,4.3253703117370605
01/03/2010,213.6362,4.658313274383545
01/04/2010,214.47812,4.850099563598633
01/05/2010,215.28418,4.89455509185791
01/06/2010,216.16881,5.026035308837891
01/07/2010,216.9766,5.088612079620361
01/08/2010,217.57881,5.083433151245117
01/09/2010,218.37727,5.042849063873291
01/10/2010,219.09772,5.123068809509277
01/11/2010,219.86574,5.152630805969238
01/12/2010,220.96571,5.404301166534424
01/01/2011,222.62288,5.248099327087402
01/02/2011,224.25755,5.58722448348999
01/03/2011,225.67914,5.637126445770264
01/04/2011,227.2527,5.956127166748047
01/05/2011,228.47957,6.129293441772461
01/06/2011,229.62903,6.226718902587891
01/07/2011,231.0519,6.4870076179504395
01/08/2011,232.3388,6.7837419509887695
01/09/2011,233.34729,6.855116844177246
01/10/2011,234.53333,7.045075416564941
01/11/2011,235.58414,7.149091720581055
01/12/2011,236.59529,7.073306560516357
01/01/2012,237.65523,6.752386569976807
01/02/2012,238.92535,6.5406084060668945
01/03/2012,240.31346,6.4845733642578125
01/04/2012,241.20102,6.137804985046387
01/05/2012,242.23485,6.020352363586426
01/06/2012,243.4563,6.021566390991211
01/07/2012,244.52289,5.830284118652344
01/08/2012,245.94836,5.85762882232666
