Fecha,Índice,Combinación lineal óptima MSE
01/01/2001,101.5096,NaN
01/02/2001,102.581154,NaN
01/03/2001,103.320946,NaN
01/04/2001,103.87796,NaN
01/05/2001,104.33667,NaN
01/06/2001,105.071075,NaN
01/07/2001,105.73352,NaN
01/08/2001,107.1147,NaN
01/09/2001,107.903915,NaN
01/10/2001,108.815384,NaN
01/11/2001,109.658516,NaN
01/12/2001,110.43117,10.431173324584961
01/01/2002,112.57819,10.903986930847168
01/02/2002,113.85879,10.993865966796875
01/03/2002,114.65095,10.965839385986328
01/04/2002,115.34579,11.039706230163574
01/05/2002,115.81603,11.002236366271973
01/06/2002,116.38684,10.76962947845459
01/07/2002,116.91577,10.57587718963623
01/08/2002,117.38819,9.591115951538086
01/09/2002,117.81008,9.180550575256348
01/10/2002,118.30115,8.717303276062012
01/11/2002,118.794426,8.3312349319458
01/12/2002,119.316246,8.045804977416992
01/01/2003,120.79917,7.302458763122559
01/02/2003,121.765755,6.944536209106445
01/03/2003,122.31575,6.685342788696289
01/04/2003,122.92885,6.574206352233887
01/05/2003,123.44423,6.5864763259887695
01/06/2003,124.022736,6.560795783996582
01/07/2003,124.46433,6.4564104080200195
01/08/2003,124.83354,6.342512130737305
01/09/2003,125.22604,6.294852256774902
01/10/2003,125.59464,6.165193557739258
01/11/2003,125.93207,6.008392810821533
01/12/2003,126.397026,5.93446159362793
01/01/2004,127.997,5.958512783050537
01/02/2004,128.87688,5.84000301361084
01/03/2004,129.48158,5.858466625213623
01/04/2004,129.99486,5.748042106628418
01/05/2004,130.71112,5.88678503036499
01/06/2004,131.4061,5.95322322845459
01/07/2004,131.86574,5.946611404418945
01/08/2004,132.58006,6.205470085144043
01/09/2004,133.29619,6.4444708824157715
01/10/2004,134.06525,6.744393348693848
01/11/2004,134.97108,7.177699565887451
01/12/2004,135.67339,7.339061737060547
01/01/2005,137.73923,7.611285209655762
01/02/2005,138.85712,7.7440185546875
01/03/2005,139.5463,7.773087024688721
01/04/2005,140.0947,7.769417762756348
01/05/2005,140.89381,7.7902374267578125
01/06/2005,141.55424,7.722729206085205
01/07/2005,142.17247,7.816076755523682
01/08/2005,142.59189,7.55153226852417
01/09/2005,143.27885,7.489083290100098
01/10/2005,144.29863,7.633133888244629
01/11/2005,145.1464,7.538884162902832
01/12/2005,145.92404,7.555393218994141
01/01/2006,147.83781,7.331668853759766
01/02/2006,148.65552,7.05645751953125
01/03/2006,149.40094,7.061919212341309
01/04/2006,150.1239,7.158880710601807
01/05/2006,150.67001,6.938698768615723
01/06/2006,151.22026,6.828488826751709
01/07/2006,151.83838,6.798718452453613
01/08/2006,152.34001,6.836379051208496
01/09/2006,152.81874,6.658262729644775
01/10/2006,153.3266,6.2564544677734375
01/11/2006,153.79929,5.961483955383301
01/12/2006,154.60454,5.948639869689941
01/01/2007,156.3254,5.741148471832275
01/02/2007,157.30113,5.815873146057129
01/03/2007,158.2287,5.9087700843811035
01/04/2007,158.91031,5.852768421173096
01/05/2007,159.56044,5.900602340698242
01/06/2007,160.30539,6.007875442504883
01/07/2007,161.04568,6.063887596130371
01/08/2007,161.9306,6.295520305633545
01/09/2007,162.72446,6.4820075035095215
01/10/2007,163.44951,6.602197647094727
01/11/2007,164.5615,6.997559547424316
01/12/2007,165.78024,7.228572845458984
01/01/2008,168.1583,7.569403648376465
01/02/2008,169.67334,7.865294456481934
01/03/2008,171.17195,8.180096626281738
01/04/2008,172.49135,8.546351432800293
01/05/2008,173.90085,8.987452507019043
01/06/2008,175.41615,9.42623519897461
01/07/2008,177.19962,10.030656814575195
01/08/2008,178.19846,10.046178817749023
01/09/2008,179.28033,10.17418098449707
01/10/2008,180.4634,10.409255981445312
01/11/2008,181.48375,10.283244132995605
01/12/2008,182.16464,9.88320541381836
01/01/2009,183.35225,9.035501480102539
01/02/2009,183.998,8.442500114440918
01/03/2009,184.40004,7.727959156036377
01/04/2009,184.73555,7.098452091217041
01/05/2009,185.21709,6.507285118103027
01/06/2009,185.66486,5.842509746551514
01/07/2009,186.19614,5.0770463943481445
01/08/2009,186.65933,4.748006820678711
01/09/2009,187.31511,4.481684684753418
01/10/2009,187.7423,4.033451557159424
01/11/2009,188.26674,3.7375271320343018
01/12/2009,188.66003,3.5656750202178955
01/01/2010,189.93607,3.590797185897827
01/02/2010,190.6133,3.5953011512756348
01/03/2010,191.531,3.867110252380371
01/04/2010,192.13567,4.00578498840332
01/05/2010,192.7613,4.07318115234375
01/06/2010,193.41055,4.171869277954102
01/07/2010,194.04915,4.217599391937256
01/08/2010,194.55766,4.23142147064209
01/09/2010,195.15254,4.184093475341797
01/10/2010,195.71931,4.248912334442139
01/11/2010,196.28392,4.258413314819336
01/12/2010,197.11908,4.483743667602539
01/01/2011,198.23805,4.370937347412109
01/02/2011,199.44931,4.635570526123047
01/03/2011,200.47142,4.6678619384765625
01/04/2011,201.60149,4.926632404327393
01/05/2011,202.48859,5.046285629272461
01/06/2011,203.30594,5.1162567138671875
01/07/2011,204.27205,5.2682085037231445
01/08/2011,205.23569,5.488361358642578
01/09/2011,205.97456,5.545416831970215
01/10/2011,206.78676,5.654752254486084
01/11/2011,207.47095,5.699411869049072
01/12/2011,208.10747,5.574491500854492
01/01/2012,208.90042,5.378569602966309
01/02/2012,209.76564,5.172410011291504
01/03/2012,210.7819,5.1431145668029785
01/04/2012,211.41904,4.869787693023682
01/05/2012,212.24188,4.816706657409668
01/06/2012,213.16922,4.851444244384766
01/07/2012,213.95335,4.739419937133789
01/08/2012,215.03387,4.77411413192749
