Fecha,Índice,Combinación lineal óptima ABSME
01/01/2001,101.51348,NaN
01/02/2001,102.48888,NaN
01/03/2001,103.17002,NaN
01/04/2001,103.656204,NaN
01/05/2001,104.15476,NaN
01/06/2001,104.89995,NaN
01/07/2001,105.609024,NaN
01/08/2001,106.97458,NaN
01/09/2001,107.729,NaN
01/10/2001,108.634445,NaN
01/11/2001,109.35977,NaN
01/12/2001,110.1197,10.119694709777832
01/01/2002,112.17835,10.50586986541748
01/02/2002,113.44582,10.690873146057129
01/03/2002,114.15327,10.645768165588379
01/04/2002,114.77201,10.723726272583008
01/05/2002,115.23129,10.634690284729004
01/06/2002,115.772125,10.364324569702148
01/07/2002,116.28642,10.110312461853027
01/08/2002,116.78469,9.170504570007324
01/09/2002,117.18898,8.781275749206543
01/10/2002,117.63905,8.28890609741211
01/11/2002,118.16885,8.055136680603027
01/12/2002,118.67507,7.7691521644592285
01/01/2003,120.080444,7.044214248657227
01/02/2003,120.96618,6.629021167755127
01/03/2003,121.52383,6.456721782684326
01/04/2003,122.14834,6.426941871643066
01/05/2003,122.694,6.476282596588135
01/06/2003,123.22967,6.441570281982422
01/07/2003,123.696785,6.372509479522705
01/08/2003,124.065285,6.234200477600098
01/09/2003,124.453316,6.19882345199585
01/10/2003,124.854454,6.133514404296875
01/11/2003,125.2684,6.007964134216309
01/12/2003,125.81142,6.013339996337891
01/01/2004,127.518265,6.194035530090332
01/02/2004,128.49617,6.2248687744140625
01/03/2004,129.18697,6.30587100982666
01/04/2004,129.69539,6.178588390350342
01/05/2004,130.4738,6.340812683105469
01/06/2004,131.19136,6.460856914520264
01/07/2004,131.66826,6.444369316101074
01/08/2004,132.37549,6.698249816894531
01/09/2004,133.19156,7.0213141441345215
01/10/2004,134.02844,7.34775447845459
01/11/2004,134.93312,7.715215682983398
01/12/2004,135.6689,7.835122108459473
01/01/2005,137.72139,8.001303672790527
01/02/2005,138.75269,7.981967926025391
01/03/2005,139.43073,7.929410457611084
01/04/2005,140.02464,7.964236259460449
01/05/2005,140.85197,7.954209804534912
01/06/2005,141.57745,7.916748523712158
01/07/2005,142.2681,8.050421714782715
01/08/2005,142.76254,7.8466644287109375
01/09/2005,143.52228,7.756282806396484
01/10/2005,145.02155,8.202062606811523
01/11/2005,145.9272,8.147804260253906
01/12/2005,146.6652,8.105255126953125
01/01/2006,148.49713,7.8242974281311035
01/02/2006,149.24681,7.563185691833496
01/03/2006,150.01793,7.593161582946777
01/04/2006,150.70598,7.628176689147949
01/05/2006,151.27406,7.39932107925415
01/06/2006,151.87794,7.275524616241455
01/07/2006,152.5152,7.2026686668396
01/08/2006,153.07268,7.2218804359436035
01/09/2006,153.47162,6.932253360748291
01/10/2006,153.91792,6.13451623916626
01/11/2006,154.39098,5.799996852874756
01/12/2006,155.20071,5.819727897644043
01/01/2007,156.92192,5.673370838165283
01/02/2007,157.9339,5.820624351501465
01/03/2007,158.92136,5.934904098510742
01/04/2007,159.61426,5.911032199859619
01/05/2007,160.14816,5.866237163543701
01/06/2007,160.86896,5.919894695281982
01/07/2007,161.67572,6.006300449371338
01/08/2007,162.65305,6.258705139160156
01/09/2007,163.4217,6.483334064483643
01/10/2007,164.18427,6.670011043548584
01/11/2007,165.64047,7.2863688468933105
01/12/2007,167.08087,7.654706001281738
01/01/2008,169.24713,7.854357719421387
01/02/2008,170.80894,8.152169227600098
01/03/2008,172.23439,8.377120018005371
01/04/2008,173.70198,8.826099395751953
01/05/2008,175.32047,9.473925590515137
01/06/2008,177.02583,10.043501853942871
01/07/2008,178.90895,10.659134864807129
01/08/2008,179.83072,10.560930252075195
01/09/2008,180.71806,10.583879470825195
01/10/2008,181.80441,10.731937408447266
01/11/2008,182.66444,10.277669906616211
01/12/2008,183.18895,9.640883445739746
01/01/2009,184.09505,8.772923469543457
01/02/2009,184.59985,8.073881149291992
01/03/2009,184.8971,7.352015972137451
01/04/2009,185.26237,6.655298709869385
01/05/2009,185.83945,5.999866485595703
01/06/2009,186.28072,5.22798490524292
01/07/2009,186.79921,4.410209655761719
01/08/2009,187.2357,4.117753982543945
01/09/2009,187.83635,3.938894271850586
01/10/2009,188.1805,3.507107973098755
01/11/2009,188.68365,3.295229434967041
01/12/2009,189.0628,3.2064433097839355
01/01/2010,190.42874,3.4404497146606445
01/02/2010,191.05873,3.498857021331787
01/03/2010,191.96568,3.822981119155884
01/04/2010,192.62163,3.9723410606384277
01/05/2010,193.1715,3.9453623294830322
01/06/2010,193.73373,4.000967025756836
01/07/2010,194.30003,4.015449047088623
01/08/2010,194.77724,4.027832508087158
01/09/2010,195.38307,4.017708778381348
01/10/2010,195.92702,4.116538047790527
01/11/2010,196.44757,4.11478328704834
01/12/2010,197.23967,4.324947357177734
01/01/2011,198.7618,4.375949859619141
01/02/2011,200.11899,4.742135524749756
01/03/2011,201.29192,4.858280181884766
01/04/2011,202.63708,5.199555397033691
01/05/2011,203.65285,5.425930023193359
01/06/2011,204.52522,5.570267677307129
01/07/2011,205.63113,5.83174991607666
01/08/2011,206.61009,6.0750732421875
01/09/2011,207.31348,6.106161117553711
01/10/2011,208.05891,6.192049503326416
01/11/2011,208.78714,6.281345844268799
01/12/2011,209.4931,6.212457656860352
01/01/2012,210.29713,5.803592681884766
01/02/2012,211.21234,5.5433735847473145
01/03/2012,212.19331,5.415713787078857
01/04/2012,212.98482,5.1065287590026855
01/05/2012,213.813,4.988952159881592
01/06/2012,214.6289,4.94006872177124
01/07/2012,215.42891,4.764739990234375
01/08/2012,216.54153,4.806852340698242
