Fecha,Índice,Combinación lineal óptima MSE
01/01/2001,101.526665,NaN
01/02/2001,102.554276,NaN
01/03/2001,103.24988,NaN
01/04/2001,103.803764,NaN
01/05/2001,104.17416,NaN
01/06/2001,104.904015,NaN
01/07/2001,105.56871,NaN
01/08/2001,106.93067,NaN
01/09/2001,107.670555,NaN
01/10/2001,108.60869,NaN
01/11/2001,109.42602,NaN
01/12/2001,110.24871,10.248703956604004
01/01/2002,112.30204,10.613344192504883
01/02/2002,113.58708,10.758021354675293
01/03/2002,114.36483,10.765094757080078
01/04/2002,114.994576,10.780736923217773
01/05/2002,115.387245,10.763792037963867
01/06/2002,115.95464,10.534037590026855
01/07/2002,116.46971,10.325974464416504
01/08/2002,116.93852,9.359189987182617
01/09/2002,117.32389,8.965621948242188
01/10/2002,117.77276,8.437688827514648
01/11/2002,118.286446,8.097179412841797
01/12/2002,118.813866,7.768946647644043
01/01/2003,120.29128,7.114069938659668
01/02/2003,121.223366,6.722843170166016
01/03/2003,121.77675,6.480948448181152
01/04/2003,122.38531,6.4270219802856445
01/05/2003,122.898094,6.509256362915039
01/06/2003,123.42333,6.441041946411133
01/07/2003,123.89638,6.376476764678955
01/08/2003,124.26862,6.268336296081543
01/09/2003,124.667435,6.259207248687744
01/10/2003,125.060524,6.187984466552734
01/11/2003,125.44082,6.048342227935791
01/12/2003,125.971344,6.024106025695801
01/01/2004,127.650505,6.11783504486084
01/02/2004,128.52501,6.02330207824707
01/03/2004,129.18004,6.079398155212402
01/04/2004,129.70157,5.978063583374023
01/05/2004,130.41539,6.11669397354126
01/06/2004,131.0588,6.1864094734191895
01/07/2004,131.56464,6.189255714416504
01/08/2004,132.3474,6.5010504722595215
01/09/2004,133.12111,6.780976295471191
01/10/2004,133.8669,7.04169225692749
01/11/2004,134.73207,7.406883716583252
01/12/2004,135.50298,7.566511154174805
01/01/2005,137.54424,7.750643253326416
01/02/2005,138.70131,7.917756080627441
01/03/2005,139.36617,7.885223388671875
01/04/2005,139.90208,7.864604473114014
01/05/2005,140.63521,7.836354732513428
01/06/2005,141.34898,7.851579666137695
01/07/2005,141.99985,7.931630611419678
01/08/2005,142.44069,7.626369953155518
01/09/2005,143.1665,7.546055793762207
01/10/2005,144.25418,7.75941276550293
01/11/2005,144.90976,7.554014205932617
01/12/2005,145.65921,7.495207786560059
01/01/2006,147.58238,7.298126697540283
01/02/2006,148.24588,6.881374359130859
01/03/2006,148.94505,6.873183250427246
01/04/2006,149.69876,7.002525806427002
01/05/2006,150.22404,6.818233489990234
01/06/2006,150.86629,6.733192443847656
01/07/2006,151.48192,6.677515506744385
01/08/2006,151.98712,6.702038288116455
01/09/2006,152.3022,6.38116979598999
01/10/2006,152.78716,5.915240287780762
01/11/2006,153.30075,5.790493011474609
01/12/2006,154.14172,5.82353401184082
01/01/2007,155.92963,5.6559929847717285
01/02/2007,156.97014,5.8849921226501465
01/03/2007,157.98653,6.0703444480896
01/04/2007,158.6354,5.969756126403809
01/05/2007,159.09042,5.902100086212158
01/06/2007,159.828,5.940173625946045
01/07/2007,160.79645,6.148933410644531
01/08/2007,161.80615,6.460439205169678
01/09/2007,162.63625,6.785224914550781
01/10/2007,163.39325,6.941746234893799
01/11/2007,164.63632,7.394338607788086
01/12/2007,165.85016,7.595880031585693
01/01/2008,168.19046,7.863059997558594
01/02/2008,169.76889,8.153614044189453
01/03/2008,171.32,8.439641952514648
01/04/2008,172.7026,8.86762809753418
01/05/2008,174.19836,9.496452331542969
01/06/2008,175.72743,9.94783878326416
01/07/2008,177.41116,10.332758903503418
01/08/2008,178.38368,10.245293617248535
01/09/2008,179.19943,10.184197425842285
01/10/2008,180.3506,10.378242492675781
01/11/2008,181.2159,10.070415496826172
01/12/2008,181.65726,9.530950546264648
01/01/2009,182.62505,8.582276344299316
01/02/2009,182.94519,7.761305809020996
01/03/2009,183.27982,6.980979919433594
01/04/2009,183.60901,6.3151326179504395
01/05/2009,183.95952,5.603468894958496
01/06/2009,184.32599,4.893127918243408
01/07/2009,184.78789,4.1579790115356445
01/08/2009,185.19522,3.8184757232666016
01/09/2009,185.74672,3.6536359786987305
01/10/2009,186.03519,3.1519651412963867
01/11/2009,186.4064,2.8642683029174805
01/12/2009,186.70074,2.776374340057373
01/01/2010,187.98718,2.9361438751220703
01/02/2010,188.72733,3.1605868339538574
01/03/2010,189.76079,3.536101818084717
01/04/2010,190.3133,3.651394844055176
01/05/2010,190.84445,3.742631673812866
01/06/2010,191.38484,3.829550266265869
01/07/2010,192.01193,3.9093778133392334
01/08/2010,192.50423,3.9466466903686523
01/09/2010,193.14919,3.985252618789673
01/10/2010,193.66663,4.102149963378906
01/11/2010,194.12773,4.142195224761963
01/12/2010,194.99548,4.442797660827637
01/01/2011,196.15735,4.346134185791016
01/02/2011,197.49986,4.64825439453125
01/03/2011,198.67159,4.69581413269043
01/04/2011,199.81897,4.994754314422607
01/05/2011,200.68492,5.156272888183594
01/06/2011,201.55457,5.3137526512146
01/07/2011,202.66493,5.548094749450684
01/08/2011,203.6384,5.783855438232422
01/09/2011,204.20924,5.726172924041748
01/10/2011,204.91344,5.807305812835693
01/11/2011,205.43164,5.8229217529296875
01/12/2011,206.05026,5.669252395629883
01/01/2012,206.85716,5.454703330993652
01/02/2012,207.69498,5.162087917327881
01/03/2012,208.64842,5.021771430969238
01/04/2012,209.30449,4.747061729431152
01/05/2012,210.08453,4.683773040771484
01/06/2012,210.9716,4.672208786010742
01/07/2012,211.74854,4.482082843780518
01/08/2012,212.91504,4.555456161499023
