Fecha,Índice,Combinación lineal óptima ABSME
01/01/2001,101.493416,NaN
01/02/2001,102.55869,NaN
01/03/2001,103.23229,NaN
01/04/2001,103.68356,NaN
01/05/2001,104.28778,NaN
01/06/2001,105.0616,NaN
01/07/2001,105.810265,NaN
01/08/2001,107.327705,NaN
01/09/2001,108.10666,NaN
01/10/2001,109.055695,NaN
01/11/2001,109.745445,NaN
01/12/2001,110.51615,10.516155242919922
01/01/2002,112.65443,10.996780395507812
01/02/2002,114.09489,11.248390197753906
01/03/2002,114.78829,11.194173812866211
01/04/2002,115.44251,11.341187477111816
01/05/2002,115.84408,11.081157684326172
01/06/2002,116.429085,10.81982707977295
01/07/2002,117.00087,10.576103210449219
01/08/2002,117.534065,9.509527206420898
01/09/2002,117.970726,9.124388694763184
01/10/2002,118.435974,8.601365089416504
01/11/2002,118.99733,8.430309295654297
01/12/2002,119.53981,8.165016174316406
01/01/2003,120.982796,7.392849922180176
01/02/2003,121.917885,6.856571674346924
01/03/2003,122.50146,6.719473361968994
01/04/2003,123.165085,6.689537048339844
01/05/2003,123.78498,6.854816913604736
01/06/2003,124.31786,6.77561092376709
01/07/2003,124.73545,6.610706329345703
01/08/2003,125.11924,6.453601837158203
01/09/2003,125.49967,6.38205099105835
01/10/2003,125.93673,6.33316707611084
01/11/2003,126.3722,6.197512149810791
01/12/2003,127.01059,6.249616622924805
01/01/2004,128.89087,6.536526203155518
01/02/2004,129.94933,6.587574481964111
01/03/2004,130.65007,6.65185022354126
01/04/2004,131.15488,6.487055778503418
01/05/2004,132.04274,6.671051979064941
01/06/2004,132.91003,6.911459445953369
01/07/2004,133.40358,6.949204921722412
01/08/2004,134.11304,7.1881818771362305
01/09/2004,134.98038,7.554364204406738
01/10/2004,135.81001,7.839864253997803
01/11/2004,136.86108,8.300000190734863
01/12/2004,137.62573,8.357685089111328
01/01/2005,139.80714,8.469393730163574
01/02/2005,140.83652,8.378033638000488
01/03/2005,141.55745,8.348548889160156
01/04/2005,142.2083,8.427764892578125
01/05/2005,143.14069,8.404812812805176
01/06/2005,143.93768,8.297077178955078
01/07/2005,144.74164,8.499066352844238
01/08/2005,145.27971,8.326319694519043
01/09/2005,146.12784,8.258585929870605
01/10/2005,147.70578,8.759123802185059
01/11/2005,148.60316,8.579561233520508
01/12/2005,149.3637,8.52889633178711
01/01/2006,151.18224,8.13626766204834
01/02/2006,151.84995,7.820007801055908
01/03/2006,152.6514,7.83707332611084
01/04/2006,153.34262,7.829585552215576
01/05/2006,153.95882,7.557686805725098
01/06/2006,154.50443,7.341192722320557
01/07/2006,155.1355,7.18098258972168
01/08/2006,155.65211,7.139613628387451
01/09/2006,156.01292,6.764684200286865
01/10/2006,156.48155,5.941388130187988
01/11/2006,156.94937,5.6164326667785645
01/12/2006,157.7777,5.63323974609375
01/01/2007,159.62582,5.585039138793945
01/02/2007,160.71536,5.838273525238037
01/03/2007,161.83765,6.017795562744141
01/04/2007,162.57983,6.023908615112305
01/05/2007,163.03778,5.897014141082764
01/06/2007,163.67477,5.935333728790283
01/07/2007,164.5547,6.071603775024414
01/08/2007,165.47096,6.308195114135742
01/09/2007,166.29147,6.588268756866455
01/10/2007,167.036,6.744847297668457
01/11/2007,168.74728,7.517020225524902
01/12/2007,170.52443,8.078922271728516
01/01/2008,172.6813,8.178803443908691
01/02/2008,174.39487,8.511643409729004
01/03/2008,175.85684,8.662507057189941
01/04/2008,177.66199,9.276775360107422
01/05/2008,179.58095,10.14682674407959
01/06/2008,181.50214,10.891939163208008
01/07/2008,183.4897,11.506805419921875
01/08/2008,184.377,11.425592422485352
01/09/2008,185.23851,11.393868446350098
01/10/2008,186.31732,11.543209075927734
01/11/2008,187.15086,10.906006813049316
01/12/2008,187.61922,10.024834632873535
01/01/2009,188.43039,9.120326042175293
01/02/2009,188.88911,8.311168670654297
01/03/2009,189.12033,7.54220724105835
01/04/2009,189.50862,6.668079853057861
01/05/2009,190.0042,5.804206371307373
01/06/2009,190.48703,4.950293064117432
01/07/2009,191.05043,4.120519638061523
01/08/2009,191.44447,3.8331665992736816
01/09/2009,192.00346,3.6520259380340576
01/10/2009,192.24477,3.181379556655884
01/11/2009,192.66864,2.9483067989349365
01/12/2009,193.05614,2.897843837738037
01/01/2010,194.52051,3.2320308685302734
01/02/2010,195.21484,3.348907709121704
01/03/2010,196.13338,3.7082414627075195
01/04/2010,196.81425,3.8550422191619873
01/05/2010,197.36554,3.8742964267730713
01/06/2010,197.84546,3.8629589080810547
01/07/2010,198.39996,3.8469035625457764
01/08/2010,198.85744,3.8721182346343994
01/09/2010,199.39952,3.8520467281341553
01/10/2010,199.96027,4.013372421264648
01/11/2010,200.50806,4.06886100769043
01/12/2010,201.2797,4.259666442871094
01/01/2011,203.01991,4.369410514831543
01/02/2011,204.47473,4.743436336517334
01/03/2011,205.57864,4.815732955932617
01/04/2011,207.06972,5.210737705230713
01/05/2011,208.30086,5.540648937225342
01/06/2011,209.21306,5.745693206787109
01/07/2011,210.38933,6.043027877807617
01/08/2011,211.5012,6.358202934265137
01/09/2011,212.14668,6.392773628234863
01/10/2011,212.79317,6.417726039886475
01/11/2011,213.48163,6.470343112945557
01/12/2011,214.10254,6.370663642883301
01/01/2012,214.93207,5.8674798011779785
01/02/2012,215.89728,5.586289405822754
01/03/2012,216.80109,5.458951950073242
01/04/2012,217.6426,5.105944633483887
01/05/2012,218.48166,4.887548923492432
01/06/2012,219.21698,4.78169059753418
01/07/2012,220.01607,4.575676918029785
01/08/2012,221.18248,4.577411651611328
